customer_id,age,gender,item_purchased,product_type,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_freq_days
62,21,Female,Shirt,Apparel,37.55,Hawaii,M,Purple,Summer,2.5,No,Free Shipping,No,33,Debit Card,Monthly,young,30
63,62,Female,Shoes,Footwear,109.62,New York,M,Yellow,Fall,1.9,Yes,2-Day Shipping,No,54,PayPal,Bi-Weekly,senior,14
64,45,Male,Handbag,Bags & Accessories,20.6,Delaware,XL,Charcoal,Fall,2.972365196,No,Express,Yes,58,Cash,Fortnightly,middle_aged,14
65,47,Male,Jeans,Apparel,105.16,New York,S,Olive,Winter,3.1,Yes,Store Pickup,No,35,Cash,Bi-Weekly,middle_aged,14
66,52,Male,Skirt,Apparel,65.66,California,XXL,Yellow,Spring,1.8,Yes,Next Day Air,Yes,35,Debit Card,Fortnightly,middle_aged,14
67,22,Male,Sweater,Apparel,51.29,Ohio,M,Maroon,Fall,1.8,No,2-Day Shipping,Yes,17,Credit Card,Quarterly,young,90
68,19,Female,Sunglasses,Luxury Goods,42.54,California,XL,Violet,Winter,3.5,Yes,Free Shipping,No,51,Bank Transfer,Bi-Weekly,young,14
69,20,Female,Scarf,Apparel,45,Montana,L,Pink,Spring,4,Yes,Next Day Air,No,1,PayPal,Monthly,young,30
70,41,Male,Shorts,Apparel,26.26,Rhode Island,M,White,Winter,4,No,Free Shipping,Yes,46,Credit Card,Fortnightly,adult,14
71,65,Male,Sweater,Apparel,93.5,Arkansas,L,Red,Winter,2,No,Free Shipping,Yes,42,Venmo,Fortnightly,senior,14
72,29,Female,Sunglasses,Luxury Goods,58.03,Massachusetts,M,Brown,Spring,4.4,No,Express,Yes,39,PayPal,Annually,young,365
73,40,Male,Belt,Bags & Accessories,56.72,West Virginia,S,Turquoise,Fall,4.3,No,Express,No,11,PayPal,Monthly,adult,30
74,49,Female,Handbag,Bags & Accessories,52.81,New Hampshire,L,Yellow,Fall,3,Yes,Store Pickup,Yes,54,Credit Card,Quarterly,middle_aged,90
75,31,Male,Sandals,Footwear,96.98,Louisiana,S,Olive,Fall,5,No,Store Pickup,No,17,PayPal,Bi-Weekly,young,14
76,24,Female,Blouse,Apparel,50.27,West Virginia,L,Turquoise,Winter,1.9,No,Express,Yes,13,Cash,Fortnightly,young,14
77,31,Male,Sweater,Apparel,67.68,California,S,Turquoise,Summer,4.8,No,2-Day Shipping,Yes,32,PayPal,Fortnightly,young,14
78,19,Male,Blouse,Apparel,15.38,West Virginia,XXL,Gold,Fall,3.4,No,2-Day Shipping,Yes,51,PayPal,Weekly,young,7
79,43,Female,Dress,Apparel,75.62,Wyoming,L,Pink,Summer,3,Yes,Next Day Air,Yes,44,PayPal,Bi-Weekly,adult,14
80,66,Female,Sweater,Apparel,23.39,Massachusetts,L,Purple,Spring,3.7,No,Next Day Air,No,34,PayPal,Bi-Weekly,senior,14
81,20,Female,Dress,Apparel,57.13,New Hampshire,M,Yellow,Fall,4.1,No,Store Pickup,No,43,Venmo,Fortnightly,young,14
82,59,Female,Hat,Bags & Accessories,75.9,New York,XL,Black,Fall,4.6,No,Express,No,18,Credit Card,Bi-Weekly,senior,14
83,61,Female,Dress,Apparel,57.3,Wyoming,M,Maroon,Fall,4.2,Yes,Express,No,46,Debit Card,Monthly,senior,30
84,28,Female,Watch,Luxury Goods,117.11,Maine,M,Black,Summer,3,No,Next Day Air,No,9,Venmo,Fortnightly,young,14
85,29,Female,Jeans,Apparel,101.63,Florida,XXL,White,Fall,3.2,Yes,Express,Yes,19,PayPal,Bi-Weekly,young,14
86,41,Male,Coat,Outerwear,64.03,West Virginia,M,Teal,Spring,4.9,No,Next Day Air,No,40,Debit Card,Weekly,adult,7
87,60,Male,Dress,Apparel,38.82,New York,L,Charcoal,Spring,3.7,No,Standard,No,30,Credit Card,Quarterly,senior,90
88,46,Female,Jacket,Outerwear,119.28,Arkansas,XL,Pink,Spring,3.6,Yes,Store Pickup,Yes,5,PayPal,Fortnightly,middle_aged,14
89,58,Female,Coat,Outerwear,109.26,Rhode Island,XXL,Turquoise,Summer,2.7,No,Free Shipping,Yes,50,Credit Card,Fortnightly,senior,14
90,54,Male,Shoes,Footwear,49.47,Florida,XL,Teal,Fall,3,Yes,Store Pickup,No,31,PayPal,Quarterly,middle_aged,90
91,21,Male,Belt,Bags & Accessories,48.05,Wyoming,S,Silver,Winter,2.5,Yes,Store Pickup,Yes,10,Bank Transfer,Weekly,young,7
92,42,Female,Jacket,Outerwear,44.89,Louisiana,XXL,Blue,Fall,4.6,Yes,Standard,No,21,Cash,Annually,adult,365
93,49,Male,Jacket,Outerwear,97.67,Hawaii,M,Brown,Fall,1.1,No,Store Pickup,No,16,Credit Card,Annually,middle_aged,365
94,45,Female,Blouse,Apparel,30.57,New York,L,Blue,Summer,1.2,Yes,Free Shipping,Yes,21,Bank Transfer,Monthly,middle_aged,30
95,32,Male,Scarf,Apparel,111.1,Oregon,L,Teal,Winter,2.3,No,Next Day Air,No,43,PayPal,Bi-Weekly,adult,14
96,61,Male,Coat,Outerwear,65.37,Louisiana,XL,Silver,Spring,1.1,No,2-Day Shipping,No,4,Bank Transfer,Bi-Weekly,senior,14
97,67,Male,Dress,Apparel,92.25,Massachusetts,L,Green,Spring,3.010953979,No,Next Day Air,Yes,14,Cash,Quarterly,senior,90
98,66,Female,Jeans,Apparel,33.5,Texas,L,Silver,Fall,4.8,Yes,Next Day Air,No,18,Cash,Fortnightly,senior,14
99,49,Male,Coat,Outerwear,22.4,Ohio,XXL,White,Spring,3.2,Yes,Free Shipping,Yes,3,Credit Card,Bi-Weekly,middle_aged,14
100,40,Female,Sandals,Footwear,55.27,Arkansas,S,Black,Spring,2.8,Yes,Store Pickup,No,16,Debit Card,Bi-Weekly,adult,14
101,53,Male,Jacket,Outerwear,54.2,Oregon,XL,Gold,Winter,4.6,Yes,Next Day Air,No,12,PayPal,Bi-Weekly,middle_aged,14
102,65,Male,Sweater,Apparel,118.57,New Hampshire,XL,Teal,Summer,2.8,No,Store Pickup,No,26,PayPal,Fortnightly,senior,14
103,59,Male,Shorts,Apparel,87.76,Oregon,XXL,Yellow,Winter,3.4,Yes,Express,Yes,50,PayPal,Bi-Weekly,senior,14
104,60,Female,Skirt,Apparel,23.96,Oregon,S,Purple,Spring,4.4,No,Free Shipping,No,27,Cash,Fortnightly,senior,14
105,28,Female,Shirt,Apparel,99.62,West Virginia,XXL,Green,Summer,4.2,Yes,Standard,Yes,59,Debit Card,Bi-Weekly,young,14
106,52,Female,Boots,Footwear,73.28,Ohio,XXL,Pink,Spring,3.7,No,Next Day Air,No,14,PayPal,Bi-Weekly,middle_aged,14
107,37,Male,Jacket,Outerwear,75.79,New Hampshire,M,Brown,Spring,4.4,No,Free Shipping,No,34,Credit Card,Monthly,adult,30
108,31,Female,Hat,Bags & Accessories,19.88,California,M,Blue,Winter,1.3,No,Store Pickup,No,18,PayPal,Monthly,young,30
109,40,Male,Shirt,Apparel,115.09,Oregon,M,Charcoal,Fall,2.6,Yes,Next Day Air,No,13,PayPal,Annually,adult,365
110,48,Male,Scarf,Apparel,28.99,Kentucky,XL,Maroon,Summer,1.5,Yes,2-Day Shipping,Yes,7,Cash,Quarterly,middle_aged,90
111,59,Female,Handbag,Bags & Accessories,77.21,Ohio,M,White,Summer,1,Yes,Store Pickup,No,29,Bank Transfer,Weekly,senior,7
112,63,Male,Dress,Apparel,22.24,Texas,S,Charcoal,Fall,3.3,No,Store Pickup,No,45,Credit Card,Bi-Weekly,senior,14
113,61,Male,Handbag,Bags & Accessories,48.79,Florida,L,Gray,Winter,2,Yes,Express,No,11,PayPal,Bi-Weekly,senior,14
114,32,Female,Coat,Outerwear,97.63,Florida,L,Pink,Fall,4.6,No,2-Day Shipping,Yes,15,Cash,Bi-Weekly,adult,14
115,19,Male,Jacket,Outerwear,95.59,Missouri,L,Blue,Summer,2,Yes,Express,Yes,55,Credit Card,Weekly,young,7
116,31,Male,Sweater,Apparel,35.55,Montana,L,Blue,Winter,4.7,Yes,Next Day Air,No,17,Cash,Monthly,young,30
117,45,Male,Sunglasses,Luxury Goods,50.53,Maine,XL,Charcoal,Winter,2.2,Yes,Express,No,6,Debit Card,Fortnightly,middle_aged,14
118,55,Male,Belt,Bags & Accessories,115.23,New York,L,Maroon,Spring,2.972365196,Yes,Standard,Yes,2,Debit Card,Annually,middle_aged,365
119,58,Male,Dress,Apparel,72.93,Missouri,M,Maroon,Summer,2.3,No,Standard,Yes,11,PayPal,Bi-Weekly,senior,14
120,36,Female,Dress,Apparel,58.1,Hawaii,M,Black,Fall,1.8,No,Standard,Yes,13,Credit Card,Annually,adult,365
121,51,Female,Sunglasses,Luxury Goods,86.84,Louisiana,S,Maroon,Winter,3.016713881,Yes,Next Day Air,Yes,54,PayPal,Bi-Weekly,middle_aged,14
122,55,Female,Skirt,Apparel,30.17,Hawaii,M,Charcoal,Summer,1.5,No,Store Pickup,No,10,Credit Card,Fortnightly,middle_aged,14
123,43,Male,Watch,Luxury Goods,51.21,Delaware,L,Gray,Summer,4.4,No,Store Pickup,Yes,14,Debit Card,Weekly,adult,7
124,19,Female,Shirt,Apparel,117.97,Ohio,XL,Yellow,Summer,4.8,No,Standard,No,34,Venmo,Annually,young,365
125,49,Female,Dress,Apparel,29.38,Missouri,L,Turquoise,Winter,1.8,Yes,2-Day Shipping,Yes,55,Bank Transfer,Quarterly,middle_aged,90
126,41,Male,Dress,Apparel,118.63,Wyoming,S,Charcoal,Spring,5,No,2-Day Shipping,Yes,22,Venmo,Weekly,adult,7
127,46,Female,Sandals,Footwear,78.74,Delaware,M,Silver,Fall,1.2,Yes,Express,No,16,Credit Card,Fortnightly,middle_aged,14
128,29,Male,Jeans,Apparel,114.61,Rhode Island,L,Yellow,Winter,4.2,No,Standard,Yes,12,Cash,Fortnightly,young,14
129,27,Male,Dress,Apparel,71,Delaware,S,Yellow,Summer,2.2,No,Standard,Yes,59,Credit Card,Monthly,young,30
130,26,Male,Sweater,Apparel,98.12,Arkansas,M,Yellow,Spring,4.5,No,Store Pickup,No,13,Venmo,Weekly,young,7
131,43,Female,Handbag,Bags & Accessories,84.5,California,XL,Blue,Spring,4.6,No,Next Day Air,No,47,Cash,Fortnightly,adult,14
132,43,Female,Jacket,Outerwear,50.86,Maine,M,Turquoise,Winter,3.7,No,Free Shipping,Yes,30,Bank Transfer,Quarterly,adult,90
133,64,Male,Shorts,Apparel,48.96,Delaware,M,Brown,Fall,3.5,No,Next Day Air,No,48,Bank Transfer,Monthly,senior,30
134,55,Female,Sunglasses,Luxury Goods,45.92,Montana,S,Gray,Winter,2,No,Free Shipping,No,19,Credit Card,Monthly,middle_aged,30
135,47,Male,Handbag,Bags & Accessories,114.3,Delaware,XXL,Purple,Winter,3.1,Yes,Store Pickup,Yes,31,Credit Card,Fortnightly,middle_aged,14
136,56,Male,Watch,Luxury Goods,108.55,Texas,L,Silver,Summer,2.4,Yes,Express,Yes,29,PayPal,Fortnightly,middle_aged,14
137,56,Male,Blouse,Apparel,119.95,Texas,L,Blue,Spring,3.010953979,Yes,Standard,No,57,Bank Transfer,Fortnightly,middle_aged,14
138,20,Male,Belt,Bags & Accessories,28.7,Ohio,L,Maroon,Winter,4.3,No,Free Shipping,Yes,55,PayPal,Quarterly,young,90
139,28,Female,Handbag,Bags & Accessories,33.08,Wyoming,S,White,Fall,4.7,Yes,Next Day Air,No,54,Bank Transfer,Fortnightly,young,14
140,19,Male,Shoes,Footwear,82.78,Rhode Island,S,Gray,Summer,4.4,No,Store Pickup,Yes,41,Credit Card,Fortnightly,young,14
141,60,Male,Jacket,Outerwear,102.88,Texas,XL,Gold,Winter,4.7,No,Next Day Air,No,42,Venmo,Weekly,senior,7
142,49,Male,Sunglasses,Luxury Goods,86.12,Louisiana,S,Silver,Summer,3.8,Yes,Free Shipping,No,38,Credit Card,Quarterly,middle_aged,90
143,25,Female,Sweater,Apparel,99.89,West Virginia,M,Green,Fall,1.3,Yes,Express,No,32,Venmo,Monthly,young,30
144,25,Female,Shoes,Footwear,89.53,Ohio,XL,Maroon,Winter,4.5,No,Standard,Yes,33,PayPal,Quarterly,young,90
145,36,Male,Jacket,Outerwear,94.93,Montana,L,Charcoal,Summer,3.5,No,Express,Yes,16,PayPal,Quarterly,adult,90
146,43,Female,Boots,Footwear,32.56,Oregon,M,White,Winter,4.5,No,Next Day Air,Yes,52,Bank Transfer,Fortnightly,adult,14
147,26,Male,Watch,Luxury Goods,68.47,Delaware,XXL,Charcoal,Winter,1,No,2-Day Shipping,No,44,Cash,Quarterly,young,90
148,28,Female,Scarf,Apparel,65.06,Delaware,L,Turquoise,Spring,1.9,No,2-Day Shipping,No,54,Debit Card,Monthly,young,30
149,29,Female,Dress,Apparel,49.68,Illinois,L,White,Spring,3.010953979,No,Express,Yes,29,Bank Transfer,Weekly,young,7
150,64,Female,Jeans,Apparel,60.13,Louisiana,M,Gray,Winter,3.4,No,2-Day Shipping,No,31,Venmo,Quarterly,senior,90
151,40,Female,Jeans,Apparel,53.43,Texas,M,Gold,Spring,3.3,No,Express,No,32,Cash,Bi-Weekly,adult,14
152,18,Female,Jeans,Apparel,89.09,Oregon,L,Gold,Fall,4.4,No,Store Pickup,No,36,Venmo,Weekly,young,7
153,49,Male,Scarf,Apparel,93.36,Texas,M,Pink,Fall,1.5,Yes,Next Day Air,No,41,PayPal,Annually,middle_aged,365
154,61,Male,Boots,Footwear,19.23,Rhode Island,L,Turquoise,Spring,1.6,Yes,Free Shipping,No,48,Venmo,Weekly,senior,7
155,36,Male,Hat,Bags & Accessories,64.61,Oregon,S,Brown,Fall,3.9,Yes,Free Shipping,Yes,49,PayPal,Weekly,adult,7
156,60,Female,Sandals,Footwear,39.61,Louisiana,M,Green,Summer,2.991810919,Yes,Store Pickup,No,22,Venmo,Bi-Weekly,senior,14
157,19,Male,Jeans,Apparel,79.02,West Virginia,XL,Turquoise,Spring,1.4,No,Next Day Air,Yes,7,PayPal,Quarterly,young,90
158,40,Male,Handbag,Bags & Accessories,16.34,Illinois,L,Black,Fall,3,Yes,Standard,Yes,19,PayPal,Monthly,adult,30
159,62,Male,Jeans,Apparel,38.01,Louisiana,M,Black,Summer,2.6,No,Express,No,39,Debit Card,Quarterly,senior,90
160,25,Female,Watch,Luxury Goods,72.54,Kentucky,L,Brown,Winter,1.5,Yes,2-Day Shipping,No,35,Venmo,Monthly,young,30
161,52,Male,Scarf,Apparel,25.53,Maine,L,Black,Fall,1.5,Yes,Express,No,41,Venmo,Fortnightly,middle_aged,14
162,40,Female,Shoes,Footwear,110.35,Florida,S,Red,Summer,1.2,No,Free Shipping,No,57,Credit Card,Fortnightly,adult,14
163,32,Female,Jeans,Apparel,25.52,Kentucky,L,Gray,Summer,1.1,Yes,2-Day Shipping,Yes,45,PayPal,Quarterly,adult,90
164,64,Male,Watch,Luxury Goods,17.12,Maine,L,Teal,Summer,4.2,No,Standard,No,17,Bank Transfer,Bi-Weekly,senior,14
165,61,Male,Sunglasses,Luxury Goods,54,Massachusetts,L,Charcoal,Fall,2.7,No,Next Day Air,No,59,Credit Card,Annually,senior,365
166,20,Female,Shirt,Apparel,41.56,Wyoming,M,Teal,Summer,3.010953979,No,Store Pickup,No,19,Bank Transfer,Monthly,young,30
167,65,Female,Blouse,Apparel,41.84,New York,L,White,Winter,1.4,Yes,Free Shipping,No,51,Debit Card,Bi-Weekly,senior,14
168,26,Male,Coat,Outerwear,42.89,Missouri,XXL,Turquoise,Fall,3,Yes,Free Shipping,No,3,Credit Card,Annually,young,365
169,38,Female,Sweater,Apparel,84.01,Florida,S,Olive,Spring,4.6,Yes,2-Day Shipping,No,58,Credit Card,Weekly,adult,7
170,54,Female,Shoes,Footwear,73.45,Rhode Island,XL,Pink,Summer,3.2,No,Free Shipping,Yes,39,Venmo,Quarterly,middle_aged,90
171,69,Male,Dress,Apparel,81.67,Hawaii,XXL,Maroon,Spring,3.4,No,Store Pickup,Yes,48,Cash,Quarterly,senior,90
172,23,Female,Watch,Luxury Goods,40.36,Hawaii,L,Green,Fall,3.8,No,Standard,No,25,Debit Card,Fortnightly,young,14
173,18,Female,Jeans,Apparel,98.16,New York,M,Yellow,Winter,3.010953979,Yes,2-Day Shipping,No,55,Cash,Bi-Weekly,young,14
174,37,Male,Blouse,Apparel,68.84,New Hampshire,L,Gray,Summer,3.7,Yes,Standard,Yes,4,PayPal,Fortnightly,adult,14
175,26,Female,Blouse,Apparel,82.6,Wyoming,L,Green,Winter,4.5,No,Express,No,21,PayPal,Monthly,young,30
176,69,Male,Jeans,Apparel,104.94,Oregon,XXL,Charcoal,Fall,1.8,Yes,Store Pickup,Yes,19,Credit Card,Quarterly,senior,90
177,20,Female,Dress,Apparel,53.97,Massachusetts,M,Charcoal,Winter,2.5,No,2-Day Shipping,Yes,46,PayPal,Bi-Weekly,young,14
178,30,Female,Watch,Luxury Goods,65.93,Arkansas,L,Red,Summer,3.9,No,Store Pickup,No,57,Credit Card,Monthly,young,30
179,37,Female,Blouse,Apparel,26.61,Louisiana,L,Gold,Fall,2.1,Yes,2-Day Shipping,No,5,Venmo,Bi-Weekly,adult,14
180,39,Female,Hat,Bags & Accessories,82.42,Kentucky,S,Violet,Winter,1.3,Yes,Store Pickup,No,31,Venmo,Annually,adult,365
181,53,Female,Shirt,Apparel,68.53,Florida,S,White,Summer,2.8,No,Standard,No,41,Debit Card,Monthly,middle_aged,30
182,64,Female,Dress,Apparel,32.77,Hawaii,M,Turquoise,Fall,4.6,Yes,Express,No,20,Cash,Annually,senior,365
183,64,Female,Skirt,Apparel,100.08,Massachusetts,L,Gold,Spring,4.6,Yes,Standard,Yes,8,Credit Card,Quarterly,senior,90
184,66,Male,Hat,Bags & Accessories,55.22,Hawaii,L,Turquoise,Winter,3.3,Yes,2-Day Shipping,Yes,4,PayPal,Weekly,senior,7
185,39,Female,Belt,Bags & Accessories,23.14,Ohio,XL,Green,Winter,2.7,No,Express,No,41,Debit Card,Bi-Weekly,adult,14
186,63,Female,Skirt,Apparel,66.82,Kentucky,L,Teal,Winter,1.3,Yes,Standard,Yes,52,Credit Card,Fortnightly,senior,14
187,50,Male,Skirt,Apparel,32.69,New Hampshire,M,Red,Fall,1.8,Yes,Express,No,36,PayPal,Fortnightly,middle_aged,14
188,37,Male,Handbag,Bags & Accessories,105.49,Montana,S,Charcoal,Winter,1.8,Yes,Next Day Air,Yes,30,Bank Transfer,Bi-Weekly,adult,14
189,38,Male,Handbag,Bags & Accessories,58.24,New York,S,Turquoise,Summer,4.3,Yes,Express,Yes,16,PayPal,Monthly,adult,30
